repeat,hand,regime,true_archetype,belief,ev
1,2400,after,nit,baseline,-0.016856336309146444
1,2400,after,nit,recency,3.870354497927109e-06
1,2500,after,nit,baseline,-0.016856336309146444
1,2500,after,nit,recency,0.009645824516093693
1,2600,after,nit,baseline,-0.016856336185801644
1,2600,after,nit,recency,0.009734859029511114
1,2700,after,nit,baseline,-0.00979759306761107
1,2700,after,nit,recency,0.009748281271020627
1,2800,after,nit,baseline,-0.009797732852921869
1,2800,after,nit,recency,0.009744674968927829
1,2900,after,nit,baseline,-0.009797732852921869
1,2900,after,nit,recency,0.009748456052392003
1,3000,after,nit,baseline,-0.009797732852921869
1,3000,after,nit,recency,0.009748631134488595
1,3100,after,nit,baseline,-0.009797732852921869
1,3100,after,nit,recency,0.009748539684557175
1,3200,after,nit,baseline,-0.009797732852921869
1,3200,after,nit,recency,0.009748386638997547
1,3300,after,nit,baseline,-0.009797732852921869
1,3300,after,nit,recency,0.009748032186559397
1,3400,after,nit,baseline,-0.009797732852921869
1,3400,after,nit,recency,0.009748526001472461
1,3500,after,nit,baseline,-0.009797732852921869
1,3500,after,nit,recency,0.009748659522963325
1,3600,after,nit,baseline,-0.009797732852921869
1,3600,after,nit,recency,0.009748452931913391
1,3700,after,nit,baseline,-0.009797732852921869
1,3700,after,nit,recency,0.00974742349780642
1,3800,after,nit,baseline,-0.009797732852921869
1,3800,after,nit,recency,0.00974627946585286
1,3900,after,nit,baseline,-0.009797732852921869
1,3900,after,nit,recency,0.009747238099820497
1,4000,after,nit,baseline,-0.00979773285292182
1,4000,after,nit,recency,0.009748694933029212
2,100,before,maniac,baseline,0.030739381144037382
2,100,before,maniac,recency,0.030703877132928346
2,200,before,maniac,baseline,0.030784634753884044
2,200,before,maniac,recency,0.03076842437906165
2,300,before,maniac,baseline,0.030786480713340565
2,300,before,maniac,recency,0.03078135824638586
2,400,before,maniac,baseline,0.030786481524749065
2,400,before,maniac,recency,0.030786259204269466
2,500,before,maniac,baseline,0.030786481524846063
2,500,before,maniac,recency,0.030785026681870407
2,600,before,maniac,baseline,0.030786481524847652
2,600,before,maniac,recency,0.03078648149103573
2,700,before,maniac,baseline,0.030786481524847652
2,700,before,maniac,recency,0.030786481461149127
2,800,before,maniac,baseline,0.030786481524847652
2,800,before,maniac,recency,0.03078648152399898
2,900,before,maniac,baseline,0.030786481524847652
2,900,before,maniac,recency,0.03078648152475377
2,1000,before,maniac,baseline,0.030786481524847652
2,1000,before,maniac,recency,0.03078648151781036
2,1100,before,maniac,baseline,0.030786481524847652
2,1100,before,maniac,recency,0.030786481524638035
2,1200,before,maniac,baseline,0.030786481524847652
2,1200,before,maniac,recency,0.030786481463720795
2,1300,before,maniac,baseline,0.030786481524847652
2,1300,before,maniac,recency,0.030786481466891443
2,1400,before,maniac,baseline,0.030786481524847652
2,1400,before,maniac,recency,0.030786464854354035
2,1500,before,maniac,baseline,0.030786481524847652
2,1500,before,maniac,recency,0.0307845825513366
2,1600,before,maniac,baseline,0.030786481524847652
2,1600,before,maniac,recency,0.030786382725962645
2,1700,before,maniac,baseline,0.030786481524847652
2,1700,before,maniac,recency,0.030786479564003426
2,1800,before,maniac,baseline,0.030786481524847652
2,1800,before,maniac,recency,0.030786471874682596
2,1900,before,maniac,baseline,0.030786481524847652
2,1900,before,maniac,recency,0.030786481308514288
2,2000,before,maniac,baseline,0.030786481524847652
2,2000,before,maniac,recency,0.030786481471097252
2,2100,after,nit,baseline,-0.016856336309146444
2,2100,after,nit,recency,-0.009782588649489214
2,2200,after,nit,baseline,-0.016856336309146444
2,2200,after,nit,recency,-0.006623658175870253
2,2300,after,nit,baseline,-0.016856336309146444
2,2300,after,nit,recency,4.706017564644338e-06
2,2400,after,nit,baseline,-0.016856336309146444
2,2400,after,nit,recency,0.009722346218050147
2,2500,after,nit,baseline,-0.016856336309146444
2,2500,after,nit,recency,0.009747299782901044
2,2600,after,nit,baseline,-0.016856277623720023
2,2600,after,nit,recency,0.009734399467709494
2,2700,after,nit,baseline,-0.009797722744132889
2,2700,after,nit,recency,0.009745648633121967
2,2800,after,nit,baseline,-0.009797732852921869
2,2800,after,nit,recency,0.009748524132188886
2,2900,after,nit,baseline,-0.009797732852921869
2,2900,after,nit,recency,0.0097487080652683
2,3000,after,nit,baseline,-0.009797732852921869
2,3000,after,nit,recency,0.00974871772897025
2,3100,after,nit,baseline,-0.009797732852921869
2,3100,after,nit,recency,0.009748715067690518
2,3200,after,nit,baseline,-0.009797732852921869
2,3200,after,nit,recency,0.009745622904939848
2,3300,after,nit,baseline,-0.009797732852921869
2,3300,after,nit,recency,0.009748238368284541
2,3400,after,nit,baseline,-0.009797732852921869
2,3400,after,nit,recency,0.009748351706758931
2,3500,after,nit,baseline,-0.009797732852921869
2,3500,after,nit,recency,0.00974866588943963
2,3600,after,nit,baseline,-0.009797732852921869
2,3600,after,nit,recency,0.00974870226346293
2,3700,after,nit,baseline,-0.009797732852921869
2,3700,after,nit,recency,0.00974870158997631
2,3800,after,nit,baseline,-0.009797732852921869
2,3800,after,nit,recency,0.009748644988547446
2,3900,after,nit,baseline,-0.009797732852921869
2,3900,after,nit,recency,0.009748699951878492
2,4000,after,nit,baseline,-0.009797732852921869
2,4000,after,nit,recency,0.009748677585777632
