archetype,learn_hands,repeat,equilibrium_ev,oracle_ev,guarded_ev,unguarded_ev
maniac,20,13,0.002761328766153863,1.075108465503214,0.03278214843238712,0.13703067225423118
maniac,20,14,0.002761328766153863,1.075108465503214,0.030988077473121406,0.0549834612569648
maniac,60,0,0.002761328766153863,1.075108465503214,0.03068338486719293,0.18286328851526215
maniac,60,1,0.002761328766153863,1.075108465503214,0.030727550242789496,0.18320768321924985
maniac,60,2,0.002761328766153863,1.075108465503214,0.03151742508710772,0.18242043028680177
maniac,60,3,0.002761328766153863,1.075108465503214,0.030697087162260994,0.18297011360969584
maniac,60,4,0.002761328766153863,1.075108465503214,0.030779600950859357,0.1836138457297887
maniac,60,5,0.002761328766153863,1.075108465503214,0.03071153633554175,0.18308278414408163
maniac,60,6,0.002761328766153863,1.075108465503214,0.031400195585862614,0.18154824430588362
maniac,60,7,0.002761328766153863,1.075108465503214,0.022803368995670627,0.04161091554008306
maniac,60,8,0.002761328766153863,1.075108465503214,0.030782623325874798,0.1836374392353792
maniac,60,9,0.002761328766153863,1.075108465503214,0.03133447318135489,0.18105984315327747
maniac,60,10,0.002761328766153863,1.075108465503214,0.0237004746491769,0.04511223756392882
maniac,60,11,0.002761328766153863,1.075108465503214,0.030589934634075278,0.1821352945718864
maniac,60,12,0.002761328766153863,1.075108465503214,0.03316480052156347,0.15112347854037156
maniac,60,13,0.002761328766153863,1.075108465503214,0.030781391959715066,0.1836278267233331
maniac,60,14,0.002761328766153863,1.075108465503214,0.030633835140754816,0.18015751229357974
maniac,150,0,0.002761328766153863,1.075108465503214,0.03078647975688205,0.18366754509558345
maniac,150,1,0.002761328766153863,1.075108465503214,0.030682872683051626,0.18053378438940199
maniac,150,2,0.002761328766153863,1.075108465503214,0.030786480380514677,0.1836675499642079
maniac,150,3,0.002761328766153863,1.075108465503214,0.030786469505130032,0.1836674650614027
maniac,150,4,0.002761328766153863,1.075108465503214,0.03078629860870764,0.18366613089554923
maniac,150,5,0.002761328766153863,1.075108465503214,0.03078492374377565,0.18365539762473918
maniac,150,6,0.002761328766153863,1.075108465503214,0.030786481507377186,0.18366755876148674
maniac,150,7,0.002761328766153863,1.075108465503214,0.030576307588108465,0.18202921868715963
maniac,150,8,0.002761328766153863,1.075108465503214,0.030784332717776027,0.18365078367842663
maniac,150,9,0.002761328766153863,1.075108465503214,0.030786376001254424,0.1836667350885614
maniac,150,10,0.002761328766153863,1.075108465503214,0.030731399841635976,0.18323771209306994
maniac,150,11,0.002761328766153863,1.075108465503214,0.030785444302694212,0.18365946148992462
maniac,150,12,0.002761328766153863,1.075108465503214,0.030786468893766215,0.18366746028855999
maniac,150,13,0.002761328766153863,1.075108465503214,0.03077617375949146,0.18358709334756523
maniac,150,14,0.002761328766153863,1.075108465503214,0.03077322044579647,0.18356404106785096
maniac,400,0,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,1,0.002761328766153863,1.075108465503214,0.030786481524847524,0.18366755889787711
maniac,400,2,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,3,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,4,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,5,0.002761328766153863,1.075108465503214,0.03078648152484755,0.18366755889787714
maniac,400,6,0.002761328766153863,1.075108465503214,0.030786481524847652,0.1836675588978772
maniac,400,7,0.002761328766153863,1.075108465503214,0.03078648152484476,0.18366755889785458
maniac,400,8,0.002761328766153863,1.075108465503214,0.030786481524847524,0.18366755889787711
