archetype,repeat,hands,correct,confidence,posterior_true
nit,40,5,False,0.4110298247081843,0.09263569974975998
nit,40,10,True,0.24341956389556163,0.39364997569558646
nit,40,25,False,0.4309653028606185,0.12215185358059043
nit,40,50,True,0.5791051144354581,0.6135466354103815
nit,40,100,True,0.9908360038613804,0.9976878142664183
nit,40,200,True,0.9999997189570496,0.9999999729535999
nit,40,400,True,0.9999999999995988,0.9999999999999778
nit,40,800,True,1.0,1.0
nit,41,5,False,0.1843519696748872,0.06416126867860658
nit,41,10,False,0.19591155636101243,0.09542312832598533
nit,41,25,False,0.35982772205223745,0.3935185816791023
nit,41,50,True,0.6687597063235053,0.7440421386496037
nit,41,100,True,0.9987245000617926,0.9997741256604091
nit,41,200,True,0.9999997016348227,0.9999999714809226
nit,41,400,True,0.9999999999953301,0.9999999999997202
nit,41,800,True,1.0,1.0
nit,42,5,True,0.0600704556194962,0.25647281655304277
nit,42,10,False,0.16381644276886786,0.33002498181664547
nit,42,25,True,0.6928314733414792,0.8467772038876047
nit,42,50,True,0.8407165305989133,0.9268881062151939
nit,42,100,True,0.6725963161733277,0.7351352514955154
nit,42,200,True,0.9948736905619535,0.998818237178404
nit,42,400,True,0.9999999898361429,0.9999999991687467
nit,42,800,True,1.0,1.0
nit,43,5,True,0.08499090885890892,0.2645180874980731
nit,43,10,True,0.17911743637084687,0.3816267709196176
nit,43,25,False,0.32437259921813333,0.3284167250470589
nit,43,50,True,0.4309145376331476,0.605532749795895
nit,43,100,True,0.9746413787622742,0.9932633732095045
nit,43,200,True,0.9981679477743758,0.9996314290898857
nit,43,400,True,0.9999999954469418,0.999999999641388
nit,43,800,True,1.0,1.0
nit,44,5,False,0.175869305622964,0.321833946952803
nit,44,10,False,0.6238952156136068,0.14168428516136394
nit,44,25,False,0.6947361407899797,0.18718151731246052
nit,44,50,True,0.7667877467661613,0.8850465508744043
nit,44,100,True,0.9959210904708163,0.9992007479123194
nit,44,200,True,0.9999955763687749,0.9999994905618363
nit,44,400,True,0.9999999868577212,0.9999999989117745
nit,44,800,True,1.0,1.0
nit,45,5,False,0.05243958901077117,0.14646958374088215
nit,45,10,True,0.2408377747842665,0.38859390015938594
nit,45,25,True,0.7194792057654754,0.8662581047288775
nit,45,50,True,0.930974970987219,0.9756114243580429
nit,45,100,True,0.9997187314604792,0.9999559711962852
nit,45,200,True,0.997674776116778,0.9995176005039909
nit,45,400,True,0.9999998981739558,0.9999999906372338
nit,45,800,True,1.0,1.0
nit,46,5,False,0.23957203100868485,0.29838272462764037
nit,46,10,False,0.3380562509415693,0.37705766411954345
nit,46,25,True,0.5292122391213439,0.5606679096661161
nit,46,50,True,0.896133126276475,0.9581931560666519
nit,46,100,True,0.9766720894482012,0.993062202121469
nit,46,200,True,0.9994724104755114,0.9999081837086035
nit,46,400,True,0.9999999999713711,0.9999999999981699
nit,46,800,True,1.0,1.0
nit,47,5,False,0.39348330974230217,0.13026833402268562
nit,47,10,False,0.2988836854226665,0.1920912885066654
nit,47,25,False,0.43227459758416753,0.291257778111028
nit,47,50,True,0.6890461229579017,0.835847812783364
nit,47,100,True,0.9739405619894107,0.9931556047575525
nit,47,200,True,0.9999688448766182,0.9999958304284013
nit,47,400,True,0.9999999999967661,0.9999999999998086
nit,47,800,True,1.0,1.0
nit,48,5,True,0.18065615415686198,0.41794159155291133
nit,48,10,True,0.24927251310036902,0.4998805712646091
nit,48,25,True,0.483408078746033,0.7310486968732945
nit,48,50,True,0.8802548141911576,0.9584195047024908
nit,48,100,True,0.9754205332508811,0.9925454310327565
nit,48,200,True,0.9999828717084596,0.9999978130971027
nit,48,400,True,0.9999999995475571,0.9999999999677773
nit,48,800,True,1.0,1.0
nit,49,5,False,0.19789703047867013,0.227065949532696
nit,49,10,False,0.2726849990443878,0.3793771898096525
nit,49,25,True,0.32723774289304697,0.5039789921053188
nit,49,50,True,0.7501466599196546,0.8832095062779979
nit,49,100,True,0.9567926726391611,0.9861706027838143
nit,49,200,True,0.999863347234285,0.9999807334431957
nit,49,400,True,0.999999999792541,0.9999999999857272
nit,49,800,True,1.0,1.0
calling_station,0,5,True,0.27251372295264165,0.4450202056732084
calling_station,0,10,True,0.22356540400653246,0.4804500006108327
calling_station,0,25,True,0.913911861034435,0.9650378378417407
calling_station,0,50,True,0.9954487853394541,0.9989946153277509
calling_station,0,100,True,0.999999897273284,0.9999999906196394
calling_station,0,200,True,0.9999999999907868,0.9999999999994411
calling_station,0,400,True,1.0,1.0
calling_station,0,800,True,1.0,1.0
calling_station,1,5,True,0.22164695767372278,0.4737774164416865
calling_station,1,10,True,0.13513276069678692,0.34531928769167486
calling_station,1,25,True,0.6180911154290247,0.7571610622315271
calling_station,1,50,True,0.9590524479460893,0.9870239888877207
calling_station,1,100,True,0.9963902828483523,0.9992148034051712
calling_station,1,200,True,0.9999999991477558,0.9999999999397262
calling_station,1,400,True,1.0,1.0
calling_station,1,800,True,1.0,1.0
calling_station,2,5,False,0.22051044911266138,0.1750399424935645
calling_station,2,10,False,0.39671492484332427,0.18052387940439005
calling_station,2,25,True,0.6258574557075316,0.7342965334041369
calling_station,2,50,True,0.9536816697336643,0.9847785166917848
calling_station,2,100,True,0.9997966179883712,0.9999689463359535
calling_station,2,200,True,0.9999999965945238,0.9999999997427009
calling_station,2,400,True,0.9999999999999998,1.0
calling_station,2,800,True,1.0,1.0
calling_station,3,5,False,0.2376086765675378,0.3219063637310747
calling_station,3,10,True,0.5630452372259324,0.7848124172117091
calling_station,3,25,True,0.8427140376171901,0.9290291922026056
calling_station,3,50,True,0.9987030807040537,0.9997786962521321
calling_station,3,100,True,0.999999844611062,0.999999986152825
calling_station,3,200,True,0.9999999999939281,0.999999999999633
calling_station,3,400,True,1.0,1.0
calling_station,3,800,True,1.0,1.0
calling_station,4,5,True,0.26700861744228055,0.5554507890276088
calling_station,4,10,False,0.4842749186612444,0.29711020026107177
calling_station,4,25,True,0.8614349427592121,0.9474820331605774
calling_station,4,50,True,0.9890488544516801,0.9975414409844476
calling_station,4,100,True,0.9999729088668001,0.9999964425553625
calling_station,4,200,True,0.9999999990247859,0.9999999999282672
calling_station,4,400,True,1.0,1.0
calling_station,4,800,True,1.0,1.0
calling_station,5,5,True,0.1494112441829505,0.4066892995394983
calling_station,5,10,True,0.5427856794480029,0.6923779917067789
calling_station,5,25,True,0.7763338322845711,0.9117757577482645
calling_station,5,50,True,0.9345788294018503,0.9792301620376974
calling_station,5,100,True,0.9996592161839973,0.9999448853480215
calling_station,5,200,True,0.9999999892308129,0.9999999991170185
calling_station,5,400,True,1.0,1.0
calling_station,5,800,True,1.0,1.0
calling_station,6,5,False,0.046686043163163715,0.12111383642779572
calling_station,6,10,False,0.3119397955534544,0.05506035660051419
calling_station,6,25,False,0.5088851718273995,0.20785648921850042
