repeat,hand,decay,archetype,correct,confidence
0,300,0.999,maniac,True,0.9999999999989043
0,300,0.995,maniac,True,0.9999998166455141
0,300,0.99,maniac,True,0.9998277010474572
0,300,0.98,maniac,True,0.9735529389572557
0,320,1.0,maniac,True,0.9999999999999892
0,320,0.999,maniac,True,0.9999999999976048
0,320,0.995,maniac,True,0.99999890414984
0,320,0.99,maniac,True,0.9988635536471462
0,320,0.98,maniac,True,0.8958003076990673
0,340,1.0,maniac,True,0.9999999999999618
0,340,0.999,maniac,True,0.9999999999852612
0,340,0.995,maniac,True,0.9999850563249474
0,340,0.99,maniac,True,0.987160421891697
0,340,0.98,maniac,True,0.6071272487535042
0,360,1.0,maniac,True,0.9999999999999921
0,360,0.999,maniac,True,0.999999999994774
0,360,0.995,maniac,True,0.999989196632692
0,360,0.99,maniac,True,0.9919951368907378
0,360,0.98,maniac,True,0.7849902095932192
0,380,1.0,maniac,True,0.9999999999999952
0,380,0.999,maniac,True,0.9999999999946125
0,380,0.995,maniac,True,0.9999796883611352
0,380,0.99,maniac,True,0.9883362110901561
0,380,0.98,maniac,True,0.8066507223358547
0,400,1.0,maniac,True,0.9999999999999998
0,400,0.999,maniac,True,0.9999999999996338
0,400,0.995,maniac,True,0.9999967361603312
0,400,0.99,maniac,True,0.9978492451986508
0,400,0.98,maniac,True,0.9551532991533552
0,420,1.0,maniac,True,0.9999999999999997
0,420,0.999,maniac,True,0.9999999999988761
0,420,0.995,maniac,True,0.9999796513683992
0,420,0.99,maniac,True,0.9880209112328844
0,420,0.98,maniac,True,0.8096540660358922
0,440,1.0,maniac,True,1.0
0,440,0.999,maniac,True,0.9999999999999916
0,440,0.995,maniac,True,0.9999995983651426
0,440,0.99,maniac,True,0.9996778267147163
0,440,0.98,maniac,True,0.990957933421879
0,460,1.0,maniac,True,1.0
0,460,0.999,maniac,True,0.9999999999999974
0,460,0.995,maniac,True,0.9999997007817606
0,460,0.99,maniac,True,0.9997089295813052
0,460,0.98,maniac,True,0.9893401567610706
0,480,1.0,maniac,True,1.0
0,480,0.999,maniac,True,1.0
0,480,0.995,maniac,True,0.9999999809736381
0,480,0.99,maniac,True,0.9999725070970127
0,480,0.98,maniac,True,0.9983183478844802
0,500,1.0,maniac,True,1.0
0,500,0.999,maniac,True,1.0
0,500,0.995,maniac,True,0.9999999749213071
0,500,0.99,maniac,True,0.9999468101486266
0,500,0.98,maniac,True,0.9950487867705915
0,520,1.0,maniac,True,1.0
