hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
1940,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,60.0,0
1960,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,10.0,0
1980,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,60.0,0
2000,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-145.0,0
2020,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-5.0,0
2040,after,nit,maniac,False,1.0,0.0,0.0586316889432405,115.0,0
2060,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-30.0,0
2080,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-50.0,0
2100,after,nit,maniac,False,1.0,0.0,0.0586316889432405,25.0,0
2120,after,nit,maniac,False,1.0,0.0,0.0586316889432405,90.0,0
2140,after,nit,maniac,False,1.0,0.0,0.0586316889432405,70.0,0
2160,after,nit,maniac,False,1.0,0.0,0.0586316889432405,10.0,0
2180,after,nit,maniac,False,1.0,0.0,0.0586316889432405,25.0,0
2200,after,nit,maniac,False,1.0,0.0,0.0586316889432405,45.0,0
2220,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-45.0,0
2240,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-5.0,0
2260,after,nit,maniac,False,1.0,0.0,0.0586316889432405,35.0,0
2280,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-15.0,0
2300,after,nit,maniac,False,1.0,0.0,0.0586316889432405,0.0,0
2320,after,nit,maniac,False,1.0,0.0,0.0586316889432405,110.0,0
2340,after,nit,maniac,False,1.0,0.0,0.0586316889432405,30.0,0
2360,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-105.0,0
2380,after,nit,maniac,False,1.0,0.0,0.0586316889432405,85.0,0
2400,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-30.0,0
2420,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-85.0,0
2440,after,nit,maniac,False,1.0,0.0,0.0586316889432405,90.0,0
2460,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-25.0,0
